iter	Logloss
0	0.6485616477
1	0.6121049936
2	0.5822883489
3	0.5563996742
4	0.5348936469
5	0.5154459573
6	0.4952074244
7	0.4808862781
8	0.4671860034
9	0.4546029368
10	0.4441184473
11	0.4342004612
12	0.4262122899
13	0.4177903051
14	0.4114193746
15	0.4050881422
16	0.3950452939
17	0.387503954
18	0.3825763753
19	0.3727649618
20	0.3684592064
21	0.3628756092
22	0.3565370334
23	0.3523349544
24	0.3486543606
25	0.3456172274
26	0.3427621817
27	0.3395640013
28	0.3369225227
29	0.3324457931
30	0.3301661709
31	0.3261722195
32	0.3208304836
33	0.3188438477
34	0.3152604437
35	0.3126954518
36	0.3093452616
37	0.3076410412
38	0.303699971
39	0.3019625187
40	0.3000795148
41	0.2977091142
42	0.2951233904
43	0.2934628529
44	0.2912492913
45	0.2898026682
46	0.2876605074
47	0.2861682575
48	0.28396724
49	0.2821378062
50	0.2809878414
51	0.2795639586
52	0.2783535407
53	0.2767416632
54	0.2757687788
55	0.2750524162
56	0.2740780429
57	0.273467456
58	0.2725015146
59	0.2712605488
60	0.2705001168
61	0.2686974841
62	0.2680134053
63	0.2674934194
64	0.2664268192
65	0.2652544453
66	0.264655029
67	0.2637422691
68	0.2628982034
69	0.2617271541
70	0.261226341
71	0.2605172607
72	0.2594145167
73	0.2585637478
74	0.2580510943
75	0.2570957965
76	0.2563176735
77	0.2551920893
78	0.2545851438
79	0.2537697515
80	0.2530615045
81	0.2521641448
82	0.2513674459
83	0.2508669002
84	0.2501195358
85	0.2497741121
86	0.248516871
87	0.2478147511
88	0.2474862489
89	0.2466973194
90	0.2459986574
91	0.2454685327
92	0.2446260945
93	0.2442952886
94	0.2435986546
95	0.2431037883
96	0.242659268
97	0.2417950253
98	0.2412752947
99	0.2406718502
