iter	Passed	Remaining
0	3	342
1	5	268
2	8	266
3	11	270
4	13	261
5	16	257
6	18	252
7	21	244
8	23	241
9	26	236
10	28	234
11	31	230
12	33	226
13	36	222
14	39	223
15	42	222
16	45	219
17	48	219
18	51	217
19	53	214
20	56	211
21	58	209
22	62	208
23	64	205
24	68	204
25	70	201
26	73	199
27	76	195
28	79	194
29	82	192
30	84	189
31	87	186
32	90	184
33	94	182
34	97	180
35	100	178
36	102	175
37	105	172
38	108	170
39	111	167
40	114	164
41	116	161
42	119	158
43	122	155
44	125	153
45	128	151
46	131	148
47	134	145
48	137	142
49	140	140
50	143	138
51	146	135
52	148	131
53	151	128
54	153	125
55	155	122
56	158	119
57	160	116
58	163	113
59	166	110
60	168	107
61	170	104
62	173	102
63	176	99
64	178	96
65	181	93
66	183	90
67	185	87
68	187	84
69	189	81
70	191	78
71	194	75
72	196	72
73	199	70
74	202	67
75	204	64
76	206	61
77	209	58
78	211	56
79	213	53
80	215	50
81	218	47
82	220	45
83	221	42
84	224	39
85	226	36
86	229	34
87	231	31
88	232	28
89	235	26
90	239	23
91	241	20
92	243	18
93	245	15
94	247	13
95	248	10
96	250	7
97	252	5
98	254	2
99	256	0
