iter	Logloss
0	0.6080093987
1	0.5602813433
2	0.5196544331
3	0.4853921658
4	0.4668467917
5	0.4290876178
6	0.4091321382
7	0.3960617745
8	0.3818724963
9	0.3705154938
10	0.3604210859
11	0.349892206
12	0.3452557075
13	0.3308078824
14	0.3251338221
15	0.3195140676
16	0.3148904276
17	0.3087083906
18	0.3051515118
19	0.2984501026
20	0.2947816994
21	0.2900015821
22	0.2865452297
23	0.2804521675
24	0.2738206511
25	0.2706273218
26	0.2663892828
27	0.2648108505
28	0.2618411025
29	0.2580270486
30	0.2545024301
31	0.2501914572
32	0.2477653066
33	0.245074986
34	0.2433031663
35	0.2413548057
36	0.2387891518
37	0.2358053855
38	0.2335859708
39	0.2315999104
40	0.2299976587
41	0.2271302877
42	0.2255299204
43	0.2232010627
44	0.2222022209
45	0.2203090657
46	0.2194485999
47	0.2177284985
48	0.2155426835
49	0.2124656373
50	0.2098637043
51	0.2086757877
52	0.2065968302
53	0.2052570074
54	0.2035462352
55	0.2023161602
56	0.2002987434
57	0.198821207
58	0.1973599597
59	0.1960563038
60	0.193771043
61	0.1930962091
62	0.1915372571
63	0.1900529957
64	0.1885297739
65	0.1872005557
66	0.1863799536
67	0.1852352454
68	0.1834107722
69	0.1819203925
70	0.180625901
71	0.1799196963
72	0.1790143709
73	0.1779971928
74	0.1764718739
75	0.1758709951
76	0.1743450304
77	0.1724139534
78	0.1715125054
79	0.1701794467
80	0.1692363316
81	0.1675479751
82	0.1666266289
83	0.1659186514
84	0.1651864149
85	0.1640377832
86	0.1631915695
87	0.1621920065
88	0.1606949755
89	0.1596633775
90	0.1581144988
91	0.1570806836
92	0.1548115331
93	0.1544362895
94	0.1531961431
95	0.1520887681
96	0.1514016178
97	0.1500293318
98	0.1481967032
99	0.1467055818
100	0.1461487148
101	0.1451098406
102	0.1442520222
103	0.1436242428
104	0.1422788408
105	0.1413235079
106	0.1403120869
107	0.1397171409
108	0.1392157577
109	0.1386310008
110	0.1379172959
111	0.1369296075
112	0.1353703501
113	0.1343855313
114	0.1334157653
115	0.1322595065
116	0.1313042298
117	0.1305987937
118	0.1297312665
119	0.1293178135
120	0.1285083956
121	0.1275112687
122	0.1264929843
123	0.1260159616
124	0.1252575558
125	0.1246030182
126	0.1237786165
127	0.1227517324
128	0.1221672026
129	0.1217554925
130	0.1208608857
131	0.1205832509
132	0.120066534
133	0.1192422793
134	0.1190289786
135	0.1185231987
136	0.1178032062
137	0.1169809595
138	0.1165203817
139	0.1158935801
140	0.1150716403
141	0.1145342997
142	0.11415534
143	0.1137426923
144	0.1126003629
145	0.1120249898
146	0.1115190985
147	0.1110623682
148	0.1104049201
149	0.1099523686
150	0.1096609232
151	0.1093083217
152	0.1086168494
153	0.1082904211
154	0.1072105929
155	0.1063358234
156	0.1058246803
157	0.1054417972
158	0.1049543643
159	0.1041391306
160	0.1034700878
161	0.1028708652
162	0.1019509424
163	0.1017114884
164	0.1006328636
165	0.1003549968
166	0.0999840878
167	0.0996628305
168	0.09914245477
169	0.09816081401
170	0.09776800697
171	0.09754450938
172	0.09733580237
173	0.09713294921
174	0.09596326045
175	0.09561175134
176	0.09511346419
177	0.09493468802
178	0.09447581973
179	0.09413680652
180	0.09367244691
181	0.09353326264
182	0.09317636122
183	0.0928639046
184	0.09266702513
185	0.09216495128
186	0.09177382959
187	0.09151281142
188	0.09111487638
189	0.09028757922
190	0.08996580568
191	0.08946224188
192	0.08889563892
193	0.08868045612
194	0.0883974011
195	0.08790080697
196	0.08748123137
197	0.0871186811
198	0.08664006764
199	0.08586060428
